Monitoring Site,POC,First Valid Data,Monitor Status,
,Galena Park A167/1667,2,9-Sep-11,"Shutdown Jan 26, 2013"
M-Ethyltoluene measured in parts per billion,,,,
,Galena Park A167/1667,2,9-Sep-11,"Shutdown Jan 26, 2013"
P-Ethyltoluene measured in parts per billion,,,,
,Galena Park A167/1667,2,9-Sep-11,"Shutdown Jan 26, 2013"
M-Diethylbenzene measured in parts per billion,,,,
,Galena Park A167/1667,2,9-Sep-11,"Shutdown Jan 26, 2013"
P-Diethylbenzene measured in parts per billion,,,,
,Galena Park A167/1667,2,9-Sep-11,"Shutdown Jan 26, 2013"
Styrene measured in parts per billion,,,,
,Galena Park A167/1667,2,9-Sep-11,"Shutdown Jan 26, 2013"
Pasadena AAMS C672,,,,
"Deactivated: Mar 3, 2009",1,15-Jan-07,"Shutdown Mar 2, 2009",
"1,2,3-Trimethylbenzene measured in parts per billion",,,,
,Galena Park A167/1667,2,9-Sep-11,"Shutdown Jan 26, 2013"
Naphtalene measured in parts per billion,,,,
,Galena Park A167/1667,2,9-Sep-11,"Shutdown Jan 26, 2013"
Wind Speed measured in miles per hour,,,,
,Houston East C1/G316,1,7-May-97,Active
Houston Aldine C8/AF108/X150,1,2-Apr-97,Active,
Texas City C10,,,,
"Deactivated: Jul 8, 2004",1,22-May-97,"Shutdown Jul 8, 2004",
Clute C11/A111,1,16-Apr-97,Active,
Channelview C15/AH115,1,23-Sep-98,Active,
Houston Deer Park C18,,,,
"Deactivated: Oct 22, 1996",1,2-Aug-96,"Shutdown Oct 23, 1996",
Houston Manchester C22,,,,
"Deactivated: Jan 20, 1998",1,2-Aug-96,"Shutdown Jan 20, 1998",
Northwest Harris Co. C26/A110/X154,1,1-Apr-97,Active,
Galveston Airport C34/A109/X152,,,,
"Deactivated: Mar 21, 2007",1,16-Apr-97,"Shutdown Mar 21, 2007",
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,20-Mar-97,Active,
Seabrook Friendship Park C45,1,29-Jul-01,Active,
Houston Wharton C48,,,,
"Deactivated: May 3, 2012",1,24-Mar-99,"Shutdown May 3, 2012",
Ellington Field C51,,,,
"Deactivated: May 4, 2005",1,22-May-97,"Shutdown May 3, 2005",
Houston Bayland Park C53/A146,1,24-Mar-98,Active,
Conroe C65,,,,
"Deactivated: Sep 25, 2001",1,5-Oct-99,"Shutdown Sep 21, 2001",
Conroe Relocated C78/A321,1,26-Oct-01,Active,
Houston Regional Office C81,,,,
"Deactivated: Jun 25, 2012",1,3-May-00,"Shutdown Jun 25, 2012",
Manvel Croix Park C84,1,23-Aug-01,Active,
Smith Point Hawkins Camp C96/C638,1,6-Sep-00,Active,
Nessler Pool A100,,,,
"Deactivated: Aug 21, 2007",1,9-Oct-98,"Shutdown Aug 21, 2007",
Shore Acres A145,1,20-Aug-98,Active,
Baytown A148,1,14-Aug-98,Active,
Galena Park A167/1667,1,12-Jan-00,Active,
Houston Milby Park A169,1,7-Apr-99,Active,
Port of Houston (Fuel Cell) C240,,,,
"Deactivated: Aug 9, 2001",1,24-Jan-01,"Shutdown Aug 9, 2001",
La Porte Airport C243,1,9-Jun-05,Active,
San Jacinto Monument C166/C245,,,,
"Deactivated: Apr 16, 2003",1,17-Apr-00,"Shutdown Apr 16, 2003",
Clinton C403/C304/AH113,1,17-Dec-97,Active,
Houston Kirkpatrick C404,1,16-Feb-00,Active,
Houston Croquet C409,1,8-Feb-00,Active,
Houston Westhollow C410,1,7-Mar-00,Active,
Park Place C416,1,22-Feb-06,Active,
La Porte Sylvan Beach C556,1,24-Jun-05,Active,
Katy Park C559,1,23-May-06,Active,
Atascocita C560,1,28-Mar-06,Active,
Clear Brook High School C570,1,13-May-08,"Shutdown Aug 29, 2012",
Clear Creek High School C571,1,2-Oct-03,"Shutdown Oct 3, 2003",
Clear Lake High School C572,1,18-Jun-08,"Shutdown Aug 29, 2012",
HRM-3 Haden Road C603/A114,1,20-Oct-99,Active,
HRM-4 Sheldon Rd C604,,,,
"Deactivated: Dec 6, 2001",1,29-Nov-99,"Shutdown Dec 6, 2001",
HRM-7 W Baytown C607 ,,,,
"Deactivated: Dec 7, 2001",1,29-Nov-99,"Shutdown Dec 7, 2001",
HRM-8 LaPorte C608,,,,
"Deactivated: Dec 5, 2001",1,30-Nov-99,"Shutdown Dec 5, 2001",
HRM-10 Mont Belvieu C610,,,,
"Deactivated: Dec 6, 2001",1,9-Nov-99,"Shutdown Dec 6, 2001",
HRM-11 E Baytown C611,,,,
"Deactivated: Dec 5, 2001",1,10-Nov-99,"Shutdown Dec 5, 2001",
Wallisville Road C617,1,10-Jun-03,Active,
Danciger C618,1,6-Jun-03,Active,
Mustang Bayou C619,1,10-Jun-03,Active,
Texas City 34th St. C620,1,6-Jun-03,Active,
Pasadena AAMS C672,,,,
"Deactivated: Mar 3, 2009",1,19-Jul-06,"Shutdown Mar 2, 2009",
U of H-Sugarland C696,1,1-Mar-09,"Shutdown Mar 4, 2009",
Freeport South Avenue I C1012,1,25-May-11,Active,
Lynchburg Ferry C1015/A165,1,24-Apr-03,Active,
Lake Jackson C1016,1,11-Jun-03,Active,
Baytown Garth C1017,1,6-Jun-12,Active,
Cesar Chavez C1020/175,1,12-May-04,Active,
Texas City Ball Park A147/C1022,1,29-Apr-00,Active,
Manchester C1029/A307/E307,1,26-May-05,Active,
Channelview North C1030/A309,,,,
"Deactivated: Oct 2, 2007",1,8-Dec-05,"Shutdown Oct 2, 2007",
Galveston 99th St. C1034/A320/X183,1,21-Mar-07,Active,
Jacinto Port C1036/A318,1,19-Jul-06,Active,
Pasadena North C1049/A330,1,30-Jun-08,Active,
Houston Southwest Freeway C1066,1,16-Jan-14,Active,
Galveston C2003,,,,
"Deactivated: Nov 19, 2008",1,22-Sep-08,"Shutdown Nov 19, 2008",
Galveston Airport KGLS C5005,1,22-Jan-03,Active,
Conroe Airport KCXO C5006,1,23-Jan-03,Active,
Huntsville KUTS C5012,1,2-Sep-05,Active,
Resultant Wind Speed measured in miles per hour,,,,
,Houston East C1/G316,1,7-May-97,Active
Houston Aldine C8/AF108/X150,1,2-Apr-97,Active,
Texas City C10,,,,
"Deactivated: Jul 8, 2004",1,22-May-97,"Shutdown Jul 8, 2004",
Clute C11/A111,1,16-Apr-97,Active,
Channelview C15/AH115,1,23-Sep-98,Active,
Houston Deer Park C18,,,,
"Deactivated: Oct 22, 1996",1,2-Aug-96,"Shutdown Oct 23, 1996",
Houston Manchester C22,,,,
"Deactivated: Jan 20, 1998",1,2-Aug-96,"Shutdown Jan 20, 1998",
Northwest Harris Co. C26/A110/X154,1,1-Apr-97,Active,
Galveston Airport C34/A109/X152,,,,
"Deactivated: Mar 21, 2007",1,16-Apr-97,"Shutdown Mar 21, 2007",
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,20-Mar-97,Active,
Seabrook Friendship Park C45,1,29-Jul-01,Active,
Houston Wharton C48,,,,
"Deactivated: May 3, 2012",1,24-Mar-99,"Shutdown May 3, 2012",
Ellington Field C51,,,,
"Deactivated: May 4, 2005",1,22-May-97,"Shutdown May 3, 2005",
Houston Bayland Park C53/A146,1,24-Mar-98,Active,
Conroe C65,,,,
"Deactivated: Sep 25, 2001",1,5-Oct-99,"Shutdown Sep 21, 2001",
Conroe Relocated C78/A321,1,26-Oct-01,Active,
Houston Regional Office C81,,,,
"Deactivated: Jun 25, 2012",1,3-May-00,"Shutdown Jun 25, 2012",
Manvel Croix Park C84,1,23-Aug-01,Active,
Smith Point Hawkins Camp C96/C638,1,6-Sep-00,Active,
Nessler Pool A100,,,,
"Deactivated: Aug 21, 2007",1,9-Oct-98,"Shutdown Aug 21, 2007",
Shore Acres A145,1,20-Aug-98,Active,
Baytown A148,1,1-Sep-98,Active,
Galena Park A167/1667,1,12-Jan-00,Active,
Houston Milby Park A169,1,7-Apr-99,Active,
Port of Houston (Fuel Cell) C240,,,,
"Deactivated: Aug 9, 2001",1,24-Jan-01,"Shutdown Aug 9, 2001",
La Porte Airport C243,1,9-Jun-05,Active,
San Jacinto Monument C166/C245,,,,
"Deactivated: Apr 16, 2003",1,17-Apr-00,"Shutdown Apr 16, 2003",
Clinton C403/C304/AH113,1,17-Dec-97,Active,
Houston Kirkpatrick C404,1,16-Feb-00,Active,
Houston Croquet C409,1,8-Feb-00,Active,
Houston Westhollow C410,1,7-Mar-00,Active,
Park Place C416,1,22-Feb-06,Active,
La Porte Sylvan Beach C556,1,24-Jun-05,Active,
Katy Park C559,1,23-May-06,Active,
Atascocita C560,1,28-Mar-06,Active,
Clear Brook High School C570,1,13-May-08,"Shutdown Aug 29, 2012",
Clear Lake High School C572,1,18-Jun-08,"Shutdown Aug 29, 2012",
HRM-3 Haden Road C603/A114,1,20-Oct-99,Active,
HRM-4 Sheldon Rd C604,,,,
"Deactivated: Dec 6, 2001",1,29-Nov-99,"Shutdown Dec 6, 2001",
HRM-7 W Baytown C607 ,,,,
"Deactivated: Dec 7, 2001",1,29-Nov-99,"Shutdown Dec 7, 2001",
HRM-8 LaPorte C608,,,,
"Deactivated: Dec 5, 2001",1,30-Nov-99,"Shutdown Dec 5, 2001",
HRM-10 Mont Belvieu C610,,,,
"Deactivated: Dec 6, 2001",1,9-Nov-99,"Shutdown Dec 6, 2001",
HRM-11 E Baytown C611,,,,
"Deactivated: Dec 5, 2001",1,10-Nov-99,"Shutdown Dec 5, 2001",
Wallisville Road C617,1,10-Jun-03,Active,
Danciger C618,1,6-Jun-03,Active,
Mustang Bayou C619,1,10-Jun-03,Active,
Texas City 34th St. C620,1,6-Jun-03,Active,
Pasadena AAMS C672,,,,
"Deactivated: Mar 3, 2009",1,19-Jul-06,"Shutdown Mar 2, 2009",
UH Moody Tower C695,1,5-May-10,Active,
U of H-Sugarland C696,1,25-Feb-09,Active,
UH Coastal Center C697,1,8-Apr-10,Active,
UH WG Jones Forest C698,1,6-Apr-10,Active,
UH West Liberty C699,1,26-May-10,Active,
Freeport South Avenue I C1012,1,25-May-11,Active,
Lynchburg Ferry C1015/A165,1,24-Apr-03,Active,
Lake Jackson C1016,1,11-Jun-03,Active,
Baytown Garth C1017,1,6-Jun-12,Active,
Cesar Chavez C1020/175,1,12-May-04,Active,
Texas City Ball Park A147/C1022,1,29-Apr-00,Active,
Manchester C1029/A307/E307,1,26-May-05,Active,
Channelview North C1030/A309,,,,
"Deactivated: Oct 2, 2007",1,15-Dec-05,"Shutdown Oct 2, 2007",
Galveston 99th St. C1034/A320/X183,1,21-Mar-07,Active,
Jacinto Port C1036/A318,1,19-Jul-06,Active,
Pasadena North C1049/A330,1,30-Jun-08,Active,
Houston Southwest Freeway C1066,1,16-Jan-14,Active,
Galveston C2003,,,,
"Deactivated: Nov 19, 2008",1,22-Sep-08,"Shutdown Nov 19, 2008",
Galveston Airport KGLS C5005,1,22-Jan-03,Active,
Conroe Airport KCXO C5006,1,23-Jan-03,Active,
Huntsville KUTS C5012,1,2-Sep-05,Active,
Resultant Wind Direction measured in degrees compass,,,,
,Houston East C1/G316,1,7-May-97,Active
Houston Aldine C8/AF108/X150,1,2-Apr-97,Active,
Texas City C10,,,,
"Deactivated: Jul 8, 2004",1,21-May-97,"Shutdown Jul 8, 2004",
Clute C11/A111,1,16-Apr-97,Active,
Channelview C15/AH115,1,23-Sep-98,Active,
Houston Deer Park C18,,,,
"Deactivated: Oct 22, 1996",1,2-Aug-96,"Shutdown Oct 23, 1996",
Houston Manchester C22,,,,
"Deactivated: Jan 20, 1998",1,2-Aug-96,"Shutdown Jan 20, 1998",
Northwest Harris Co. C26/A110/X154,1,1-Apr-97,Active,
Galveston Airport C34/A109/X152,,,,
"Deactivated: Mar 21, 2007",1,16-Apr-97,"Shutdown Mar 21, 2007",
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,20-Mar-97,Active,
Seabrook Friendship Park C45,1,29-Jul-01,Active,
Houston Wharton C48,,,,
"Deactivated: May 3, 2012",1,24-Mar-99,"Shutdown May 3, 2012",
Ellington Field C51,,,,
"Deactivated: May 4, 2005",1,22-May-97,"Shutdown May 3, 2005",
Houston Bayland Park C53/A146,1,24-Mar-98,Active,
Conroe C65,,,,
"Deactivated: Sep 25, 2001",1,5-Oct-99,"Shutdown Sep 21, 2001",
Conroe Relocated C78/A321,1,26-Oct-01,Active,
Houston Regional Office C81,,,,
"Deactivated: Jun 25, 2012",1,3-May-00,"Shutdown Jun 25, 2012",
Manvel Croix Park C84,1,23-Aug-01,Active,
Smith Point Hawkins Camp C96/C638,1,6-Sep-00,Active,
Nessler Pool A100,,,,
"Deactivated: Aug 21, 2007",1,9-Oct-98,"Shutdown Aug 21, 2007",
Shore Acres A145,1,20-Aug-98,Active,
Baytown A148,1,1-Sep-98,Active,
Galena Park A167/1667,1,12-Jan-00,Active,
Houston Milby Park A169,1,7-Apr-99,Active,
Port of Houston (Fuel Cell) C240,,,,
"Deactivated: Aug 9, 2001",1,24-Jan-01,"Shutdown Aug 9, 2001",
La Porte Airport C243,1,9-Jun-05,Active,
San Jacinto Monument C166/C245,,,,
"Deactivated: Apr 16, 2003",1,17-Apr-00,"Shutdown Apr 16, 2003",
Clinton C403/C304/AH113,1,17-Dec-97,Active,
Houston Kirkpatrick C404,1,16-Feb-00,Active,
Houston Croquet C409,1,8-Feb-00,Active,
Houston Westhollow C410,1,7-Mar-00,Active,
Park Place C416,1,22-Feb-06,Active,
La Porte Sylvan Beach C556,1,24-Jun-05,Active,
Katy Park C559,1,23-May-06,Active,
Atascocita C560,1,28-Mar-06,Active,
Clear Brook High School C570,1,13-May-08,"Shutdown Aug 29, 2012",
Clear Lake High School C572,1,18-Jun-08,"Shutdown Aug 29, 2012",
HRM-3 Haden Road C603/A114,1,20-Oct-99,Active,
HRM-4 Sheldon Rd C604,,,,
"Deactivated: Dec 6, 2001",1,29-Nov-99,"Shutdown Dec 6, 2001",
HRM-7 W Baytown C607 ,,,,
"Deactivated: Dec 7, 2001",1,29-Nov-99,"Shutdown Dec 7, 2001",
HRM-8 LaPorte C608,,,,
"Deactivated: Dec 5, 2001",1,30-Nov-99,"Shutdown Dec 5, 2001",
HRM-10 Mont Belvieu C610,,,,
"Deactivated: Dec 6, 2001",1,9-Nov-99,"Shutdown Dec 6, 2001",
HRM-11 E Baytown C611,,,,
"Deactivated: Dec 5, 2001",1,10-Nov-99,"Shutdown Dec 5, 2001",
Wallisville Road C617,1,10-Jun-03,Active,
Danciger C618,1,6-Jun-03,Active,
Mustang Bayou C619,1,10-Jun-03,Active,
Texas City 34th St. C620,1,6-Jun-03,Active,
Pasadena AAMS C672,,,,
"Deactivated: Mar 3, 2009",1,19-Jul-06,"Shutdown Mar 2, 2009",
UH Moody Tower C695,1,5-May-10,Active,
U of H-Sugarland C696,1,25-Feb-09,Active,
UH Coastal Center C697,1,8-Apr-10,Active,
UH WG Jones Forest C698,1,6-Apr-10,Active,
UH West Liberty C699,1,26-May-10,Active,
Freeport South Avenue I C1012,1,25-May-11,Active,
Lynchburg Ferry C1015/A165,1,24-Apr-03,Active,
Lake Jackson C1016,1,11-Jun-03,Active,
Baytown Garth C1017,1,6-Jun-12,Active,
Cesar Chavez C1020/175,1,12-May-04,Active,
Texas City Ball Park A147/C1022,1,29-Apr-00,Active,
Manchester C1029/A307/E307,1,26-May-05,Active,
Channelview North C1030/A309,,,,
"Deactivated: Oct 2, 2007",1,15-Dec-05,"Shutdown Oct 2, 2007",
Galveston 99th St. C1034/A320/X183,1,21-Mar-07,Active,
Jacinto Port C1036/A318,1,19-Jul-06,Active,
Pasadena North C1049/A330,1,30-Jun-08,Active,
Houston Southwest Freeway C1066,1,16-Jan-14,Active,
Galveston C2003,,,,
"Deactivated: Nov 19, 2008",1,22-Sep-08,"Shutdown Nov 19, 2008",
Galveston Airport KGLS C5005,1,22-Jan-03,Active,
Conroe Airport KCXO C5006,1,23-Jan-03,Active,
Huntsville KUTS C5012,1,2-Sep-05,Active,
Maximum Wind Gust measured in miles per hour,,,,
,Houston East C1/G316,1,7-May-97,Active
Houston Aldine C8/AF108/X150,1,2-Apr-97,Active,
Texas City C10,,,,
"Deactivated: Jul 8, 2004",1,21-May-97,"Shutdown Jul 8, 2004",
Clute C11/A111,1,16-Apr-97,Active,
Channelview C15/AH115,1,23-Sep-98,Active,
Houston Deer Park C18,,,,
"Deactivated: Oct 22, 1996",1,2-Aug-96,"Shutdown Oct 23, 1996",
Houston Manchester C22,,,,
"Deactivated: Jan 20, 1998",1,2-Aug-96,"Shutdown Jan 20, 1998",
Northwest Harris Co. C26/A110/X154,1,1-Apr-97,Active,
Galveston Airport C34/A109/X152,,,,
"Deactivated: Mar 21, 2007",1,16-Apr-97,"Shutdown Mar 21, 2007",
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,20-Mar-97,Active,
Seabrook Friendship Park C45,1,29-Jul-01,Active,
Houston Wharton C48,,,,
"Deactivated: May 3, 2012",1,24-Mar-99,"Shutdown May 3, 2012",
Ellington Field C51,,,,
"Deactivated: May 4, 2005",1,22-May-97,"Shutdown May 3, 2005",
Houston Bayland Park C53/A146,1,24-Mar-98,Active,
Conroe C65,,,,
"Deactivated: Sep 25, 2001",1,5-Oct-99,"Shutdown Sep 21, 2001",
Conroe Relocated C78/A321,1,26-Oct-01,Active,
Houston Regional Office C81,,,,
"Deactivated: Jun 25, 2012",1,3-May-00,"Shutdown Jun 25, 2012",
Manvel Croix Park C84,1,23-Aug-01,Active,
Smith Point Hawkins Camp C96/C638,1,6-Sep-00,Active,
Nessler Pool A100,,,,
"Deactivated: Aug 21, 2007",1,1-Oct-98,"Shutdown Aug 21, 2007",
Shore Acres A145,1,20-Aug-98,Active,
Baytown A148,1,14-Aug-98,Active,
Galena Park A167/1667,1,12-Jan-00,Active,
Houston Milby Park A169,1,24-Mar-99,Active,
Port of Houston (Fuel Cell) C240,,,,
"Deactivated: Aug 9, 2001",1,24-Jan-01,"Shutdown Aug 9, 2001",
La Porte Airport C243,1,9-Jun-05,Active,
San Jacinto Monument C166/C245,,,,
"Deactivated: Apr 16, 2003",1,17-Apr-00,"Shutdown Apr 16, 2003",
Clinton C403/C304/AH113,1,17-Dec-97,Active,
Houston Kirkpatrick C404,1,16-Feb-00,Active,
Houston Croquet C409,1,8-Feb-00,Active,
Houston Westhollow C410,1,7-Mar-00,Active,
Park Place C416,1,22-Feb-06,Active,
La Porte Sylvan Beach C556,1,24-Jun-05,Active,
Katy Park C559,1,23-May-06,Active,
Atascocita C560,1,28-Mar-06,Active,
Clear Brook High School C570,1,13-May-08,"Shutdown Aug 29, 2012",
Clear Creek High School C571,1,2-Oct-03,"Shutdown Oct 3, 2003",
Clear Lake High School C572,1,18-Jun-08,"Shutdown Aug 29, 2012",
HRM-3 Haden Road C603/A114,1,20-Oct-99,Active,
HRM-4 Sheldon Rd C604,,,,
"Deactivated: Dec 6, 2001",1,29-Nov-99,"Shutdown Dec 6, 2001",
HRM-7 W Baytown C607 ,,,,
"Deactivated: Dec 7, 2001",1,29-Nov-99,"Shutdown Dec 7, 2001",
HRM-8 LaPorte C608,,,,
"Deactivated: Dec 5, 2001",1,30-Nov-99,"Shutdown Dec 5, 2001",
HRM-10 Mont Belvieu C610,,,,
"Deactivated: Dec 6, 2001",1,9-Nov-99,"Shutdown Dec 6, 2001",
HRM-11 E Baytown C611,,,,
"Deactivated: Dec 5, 2001",1,10-Nov-99,"Shutdown Dec 5, 2001",
Wallisville Road C617,1,5-Jun-03,Active,
Danciger C618,1,6-Jun-03,Active,
Mustang Bayou C619,1,10-Jun-03,Active,
Texas City 34th St. C620,1,6-Jun-03,Active,
Pasadena AAMS C672,,,,
"Deactivated: Mar 3, 2009",1,19-Jul-06,"Shutdown Mar 2, 2009",
Freeport South Avenue I C1012,1,25-May-11,Active,
Lynchburg Ferry C1015/A165,1,24-Apr-03,Active,
Lake Jackson C1016,1,11-Jun-03,Active,
Baytown Garth C1017,1,6-Jun-12,Active,
Cesar Chavez C1020/175,1,12-May-04,Active,
Texas City Ball Park A147/C1022,1,29-Apr-00,Active,
Manchester C1029/A307/E307,1,26-May-05,Active,
Channelview North C1030/A309,,,,
"Deactivated: Oct 2, 2007",1,8-Dec-05,"Shutdown Oct 2, 2007",
Galveston 99th St. C1034/A320/X183,1,20-Mar-07,Active,
Jacinto Port C1036/A318,1,19-Jul-06,Active,
Pasadena North C1049/A330,1,30-Jun-08,Active,
Houston Southwest Freeway C1066,1,16-Jan-14,Active,
Galveston C2003,,,,
"Deactivated: Nov 19, 2008",1,22-Sep-08,"Shutdown Nov 19, 2008",
Galveston Airport KGLS C5005,1,22-Jan-03,Active,
Conroe Airport KCXO C5006,1,23-Jan-03,Active,
Huntsville KUTS C5012,1,2-Sep-05,Active,
Standard Deviation of Horizontal Wind Direction measured in degrees compass,,,,
,Houston East C1/G316,1,7-May-97,Active
Houston Aldine C8/AF108/X150,1,2-Apr-97,Active,
Texas City C10,,,,
"Deactivated: Jul 8, 2004",1,22-May-97,"Shutdown Jul 8, 2004",
Clute C11/A111,1,16-Apr-97,Active,
Channelview C15/AH115,1,23-Sep-98,Active,
Houston Deer Park C18,,,,
"Deactivated: Oct 22, 1996",1,2-Aug-96,"Shutdown Oct 23, 1996",
Houston Manchester C22,,,,
"Deactivated: Jan 20, 1998",1,2-Aug-96,"Shutdown Jan 20, 1998",
Northwest Harris Co. C26/A110/X154,1,1-Apr-97,Active,
Galveston Airport C34/A109/X152,,,,
"Deactivated: Mar 21, 2007",1,16-Apr-97,"Shutdown Mar 21, 2007",
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,20-Mar-97,Active,
Seabrook Friendship Park C45,1,29-Jul-01,Active,
Houston Wharton C48,,,,
"Deactivated: May 3, 2012",1,24-Mar-99,"Shutdown May 3, 2012",
Ellington Field C51,,,,
"Deactivated: May 4, 2005",1,22-May-97,"Shutdown May 3, 2005",
Houston Bayland Park C53/A146,1,24-Mar-98,Active,
Conroe C65,,,,
"Deactivated: Sep 25, 2001",1,5-Oct-99,"Shutdown Sep 21, 2001",
Conroe Relocated C78/A321,1,26-Oct-01,Active,
Houston Regional Office C81,,,,
"Deactivated: Jun 25, 2012",1,3-May-00,"Shutdown Jun 25, 2012",
Manvel Croix Park C84,1,23-Aug-01,Active,
Smith Point Hawkins Camp C96/C638,1,6-Sep-00,Active,
Nessler Pool A100,,,,
"Deactivated: Aug 21, 2007",1,9-Oct-98,"Shutdown Aug 21, 2007",
Shore Acres A145,1,20-Aug-98,Active,
Baytown A148,1,23-Sep-98,Active,
Galena Park A167/1667,1,12-Jan-00,Active,
Houston Milby Park A169,1,7-Apr-99,Active,
Port of Houston (Fuel Cell) C240,,,,
"Deactivated: Aug 9, 2001",1,24-Jan-01,"Shutdown Aug 9, 2001",
La Porte Airport C243,1,9-Jun-05,Active,
San Jacinto Monument C166/C245,,,,
"Deactivated: Apr 16, 2003",1,17-Apr-00,"Shutdown Apr 16, 2003",
Clinton C403/C304/AH113,1,17-Dec-97,Active,
Houston Kirkpatrick C404,1,16-Feb-00,Active,
Houston Croquet C409,1,8-Feb-00,Active,
Houston Westhollow C410,1,7-Mar-00,Active,
Park Place C416,1,22-Feb-06,Active,
La Porte Sylvan Beach C556,1,24-Jun-05,Active,
Katy Park C559,1,23-May-06,Active,
Atascocita C560,1,28-Mar-06,Active,
Clear Brook High School C570,1,13-May-08,"Shutdown Aug 29, 2012",
Clear Lake High School C572,1,18-Jun-08,"Shutdown Aug 29, 2012",
HRM-3 Haden Road C603/A114,1,20-Oct-99,Active,
HRM-4 Sheldon Rd C604,,,,
"Deactivated: Dec 6, 2001",1,29-Nov-99,"Shutdown Dec 6, 2001",
HRM-7 W Baytown C607 ,,,,
"Deactivated: Dec 7, 2001",1,29-Nov-99,"Shutdown Dec 7, 2001",
HRM-8 LaPorte C608,,,,
"Deactivated: Dec 5, 2001",1,30-Nov-99,"Shutdown Dec 5, 2001",
HRM-10 Mont Belvieu C610,,,,
"Deactivated: Dec 6, 2001",1,9-Nov-99,"Shutdown Dec 6, 2001",
HRM-11 E Baytown C611,,,,
"Deactivated: Dec 5, 2001",1,10-Nov-99,"Shutdown Dec 5, 2001",
Wallisville Road C617,1,10-Jun-03,Active,
Danciger C618,1,6-Jun-03,Active,
Mustang Bayou C619,1,10-Jun-03,Active,
Texas City 34th St. C620,1,6-Jun-03,Active,
Pasadena AAMS C672,,,,
"Deactivated: Mar 3, 2009",1,19-Jul-06,"Shutdown Mar 2, 2009",
Freeport South Avenue I C1012,1,25-May-11,Active,
Lynchburg Ferry C1015/A165,1,24-Apr-03,Active,
Lake Jackson C1016,1,11-Jun-03,Active,
Baytown Garth C1017,1,6-Jun-12,Active,
Cesar Chavez C1020/175,1,12-May-04,Active,
Texas City Ball Park A147/C1022,1,29-Apr-00,Active,
Manchester C1029/A307/E307,1,26-May-05,Active,
Channelview North C1030/A309,,,,
"Deactivated: Oct 2, 2007",1,15-Dec-05,"Shutdown Oct 2, 2007",
Galveston 99th St. C1034/A320/X183,1,21-Mar-07,Active,
Jacinto Port C1036/A318,1,19-Jul-06,Active,
Pasadena North C1049/A330,1,30-Jun-08,Active,
Houston Southwest Freeway C1066,1,16-Jan-14,Active,
Galveston C2003,,,,
"Deactivated: Nov 19, 2008",1,22-Sep-08,"Shutdown Nov 19, 2008",
Galveston Airport KGLS C5005,1,22-Jan-03,Active,
Conroe Airport KCXO C5006,1,23-Jan-03,Active,
Huntsville KUTS C5012,1,2-Sep-05,Active,
Outdoor Temperature measured in degrees Fahrenheit,,,,
,Houston East C1/G316,1,7-May-97,Active
Houston Aldine C8/AF108/X150,1,2-Apr-97,Active,
Texas City C10,,,,
"Deactivated: Jul 8, 2004",1,21-May-97,"Shutdown Jul 8, 2004",
Clute C11/A111,1,16-Apr-97,Active,
Channelview C15/AH115,1,23-Sep-98,Active,
Houston Deer Park C18,,,,
"Deactivated: Oct 22, 1996",1,2-Aug-96,"Shutdown Oct 23, 1996",
Houston Manchester C22,,,,
"Deactivated: Jan 20, 1998",1,2-Aug-96,"Shutdown Jan 20, 1998",
Northwest Harris Co. C26/A110/X154,1,1-Apr-97,Active,
Galveston Airport C34/A109/X152,,,,
"Deactivated: Mar 21, 2007",1,16-Apr-97,"Shutdown Mar 21, 2007",
Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,20-Mar-97,Active,
Seabrook Friendship Park C45,1,29-Jul-01,Active,
Houston Wharton C48,,,,
"Deactivated: May 3, 2012",1,24-Mar-99,"Shutdown May 3, 2012",
Ellington Field C51,,,,
"Deactivated: May 4, 2005",1,22-May-97,"Shutdown May 3, 2005",
Houston Bayland Park C53/A146,1,24-Mar-98,Active,
Conroe C65,,,,
"Deactivated: Sep 25, 2001",1,5-Oct-99,"Shutdown Sep 21, 2001",
Conroe Relocated C78/A321,1,26-Oct-01,Active,
Houston Regional Office C81,,,,
"Deactivated: Jun 25, 2012",1,3-May-00,"Shutdown Jun 25, 2012",
Manvel Croix Park C84,1,23-Aug-01,Active,
Smith Point Hawkins Camp C96/C638,1,6-Sep-00,Active,
Nessler Pool A100,,,,
"Deactivated: Aug 21, 2007",1,9-Oct-98,"Shutdown Aug 21, 2007",
Shore Acres A145,1,20-Aug-98,Active,
Baytown A148,1,14-Aug-98,Active,
Galena Park A167/1667,1,12-Jan-00,Active,
Houston Milby Park A169,1,24-Mar-99,Active,
Port of Houston (Fuel Cell) C240,,,,
"Deactivated: Aug 9, 2001",1,24-Jan-01,"Shutdown Aug 9, 2001",
La Porte Airport C243,1,9-Jun-05,Active,
San Jacinto Monument C166/C245,,,,
"Deactivated: Apr 16, 2003",1,17-Apr-00,"Shutdown Apr 16, 2003",
Clinton C403/C304/AH113,1,17-Dec-97,Active,
Houston Kirkpatrick C404,1,16-Feb-00,Active,
